,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016
26,Qatar,Middle East and Northern Africa,6.611000000000001,1.69042,6.375,1.82427
27,France,Western Europe,6.575,1.27778,6.478,1.39488
28,Argentina,Latin America and Caribbean,6.574,1.05351,6.65,1.15137
29,Czech Republic,Central and Eastern Europe,6.505,1.17898,6.596,1.30915
30,Uruguay,Latin America and Caribbean,6.485,1.06166,6.545,1.18157
31,Colombia,Latin America and Caribbean,6.477,0.91861,6.481,1.0303200000000001
32,Thailand,Southeastern Asia,6.455,0.9669,6.474,1.0893
33,Saudi Arabia,Middle East and Northern Africa,6.4110000000000005,1.39541,6.379,1.48953
34,Spain,Western Europe,6.329,1.23011,6.361000000000001,1.34253
35,Malta,Western Europe,6.3020000000000005,1.2074,6.4879999999999995,1.30782
36,Taiwan,Eastern Asia,6.297999999999999,1.29098,6.379,1.39729
37,Kuwait,Middle East and Northern Africa,6.295,1.5542200000000002,6.239,1.61714
38,Suriname,Latin America and Caribbean,6.269,0.99534,6.269,1.09686
39,Trinidad and Tobago,Latin America and Caribbean,6.167999999999999,1.21183,6.167999999999999,1.32572
40,El Salvador,Latin America and Caribbean,6.13,0.76454,6.068,0.8737
41,Guatemala,Latin America and Caribbean,6.122999999999999,0.74553,6.324,0.83454
42,Uzbekistan,Central and Eastern Europe,6.002999999999999,0.63244,5.987,0.7359100000000001
43,Slovakia,Central and Eastern Europe,5.995,1.1689100000000001,6.077999999999999,1.27973
44,Japan,Eastern Asia,5.987,1.27074,5.921,1.3800700000000001
45,South Korea,Eastern Asia,5.984,1.24461,5.835,1.35948
46,Ecuador,Latin America and Caribbean,5.975,0.8640200000000001,5.976,0.97306
47,Bahrain,Middle East and Northern Africa,5.96,1.32376,6.218,1.44024
48,Italy,Western Europe,5.9479999999999995,1.25114,5.977,1.35495
49,Bolivia,Latin America and Caribbean,5.89,0.68133,5.822,0.79422
50,Moldova,Central and Eastern Europe,5.888999999999999,0.59448,5.897,0.69177
51,Paraguay,Latin America and Caribbean,5.877999999999999,0.75985,5.537999999999999,0.8937299999999999
52,Kazakhstan,Central and Eastern Europe,5.855,1.1225399999999999,5.919,1.22943
53,Slovenia,Central and Eastern Europe,5.848,1.18498,5.768,1.2994700000000001
54,Lithuania,Central and Eastern Europe,5.832999999999999,1.14723,5.813,1.2692
55,Nicaragua,Latin America and Caribbean,5.827999999999999,0.59325,5.992000000000001,0.69384
56,Peru,Latin America and Caribbean,5.824,0.9001899999999999,5.742999999999999,0.9960200000000001
57,Belarus,Central and Eastern Europe,5.813,1.0319200000000002,5.8020000000000005,1.1306200000000002
58,Poland,Central and Eastern Europe,5.791,1.12555,5.835,1.24585
59,Malaysia,Southeastern Asia,5.77,1.12486,6.005,1.25142
60,Croatia,Central and Eastern Europe,5.7589999999999995,1.08254,5.4879999999999995,1.18649
61,Libya,Middle East and Northern Africa,5.754,1.13145,5.615,1.0668799999999998
62,Russia,Central and Eastern Europe,5.716,1.13764,5.856,1.2322799999999998
63,Jamaica,Latin America and Caribbean,5.709,0.81038,5.51,0.89333
64,North Cyprus,Western Europe,5.695,1.2080600000000001,5.771,1.31141
65,Cyprus,Western Europe,5.689,1.20813,5.546,1.31857
66,Algeria,Middle East and Northern Africa,5.605,0.93929,6.355,1.05266
67,Kosovo,Central and Eastern Europe,5.5889999999999995,0.80148,5.401,0.90145
68,Turkmenistan,Central and Eastern Europe,5.547999999999999,0.95847,5.6579999999999995,1.08017
69,Mauritius,Sub-Saharan Africa,5.477,1.0076100000000001,5.648,1.14372
70,Hong Kong,Eastern Asia,5.474,1.38604,5.457999999999999,1.5107
71,Estonia,Central and Eastern Europe,5.428999999999999,1.15174,5.517,1.2796399999999999
72,Indonesia,Southeastern Asia,5.399,0.8282700000000001,5.314,0.95104
73,Vietnam,Southeastern Asia,5.36,0.63216,5.061,0.74037
74,Turkey,Middle East and Northern Africa,5.332000000000001,1.06098,5.388999999999999,1.1649200000000002
75,Kyrgyzstan,Central and Eastern Europe,5.2860000000000005,0.47428000000000003,5.185,0.5604399999999999
76,Nigeria,Sub-Saharan Africa,5.268,0.65435,4.875,0.75216
77,Bhutan,Southern Asia,5.252999999999999,0.77042,5.196000000000001,0.8527
78,Azerbaijan,Central and Eastern Europe,5.212000000000001,1.02389,5.291,1.12373
79,Pakistan,Southern Asia,5.194,0.59543,5.132000000000001,0.68816
80,Jordan,Middle East and Northern Africa,5.192,0.9019799999999999,5.303,0.9967299999999999
81,Montenegro,Central and Eastern Europe,5.192,0.9743799999999999,5.1610000000000005,1.07838
82,China,Eastern Asia,5.14,0.89012,5.245,1.0278
83,Zambia,Sub-Saharan Africa,5.129,0.47038,4.795,0.61202
84,Romania,Central and Eastern Europe,5.124,1.04345,5.528,1.1697
85,Serbia,Central and Eastern Europe,5.122999999999999,0.92053,5.1770000000000005,1.03437
86,Portugal,Western Europe,5.102,1.15991,5.122999999999999,1.27607
87,Latvia,Central and Eastern Europe,5.098,1.11312,5.56,1.2178799999999999
88,Philippines,Southeastern Asia,5.073,0.70532,5.279,0.81217
89,Morocco,Middle East and Northern Africa,5.013,0.7347899999999999,5.151,0.8405799999999999
90,Macedonia,Central and Eastern Europe,5.007,0.91851,5.121,1.0193
91,Albania,Central and Eastern Europe,4.959,0.8786700000000001,4.655,0.9553
92,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.8322299999999999,5.162999999999999,0.9338299999999999
