Happiness Rank,Country,Region,Average Happiness,Average GDP (per capita),Average Health (Life Expectancy),Avg Med Expense (%GDP),Number of physicians,Number of nurses and midwives,Number of community health workers,Number of hospital beds
143,Gabon,Sub-Saharan Africa,4.160666717529296,1.1389867464701333,0.37989952949523936,2.7355324636363636,0.406,2.898,0.0,0.0
144,Niger,Sub-Saharan Africa,3.909666625976564,0.12134177691936499,0.2757316690095266,6.634863460909091,0.0,0.0,0.0,0.3
145,Cambodia,Southeastern Asia,3.96466674041748,0.5393950320625307,0.48862113462448137,6.621300837272727,0.0,0.0,0.0,0.8
146,Tanzania,Sub-Saharan Africa,3.598666659037274,0.4226286253929137,0.36788642816543565,,0.0,0.0,0.0,0.0
147,Madagascar,Sub-Saharan Africa,3.6733333511352533,0.2645295643901823,0.40450776960055035,4.948271257272726,0.0,0.0,0.0,0.0
148,Central African Republic,Sub-Saharan Africa,3.1855000391006447,0.03925,0.04288134295016525,4.318087862727273,0.0,0.0,0.0,0.0
149,Chad,Sub-Saharan Africa,3.78866670290629,0.40069432912508635,0.0764915716934204,4.378153567272728,0.0,0.0,0.0,0.0
150,Guinea,Sub-Saharan Africa,3.5899999898274735,0.21428997669855768,0.207503046394984,4.499443351818183,0.075,0.368,0.517,0.0
151,Ivory Coast,Sub-Saharan Africa,3.9169999427795403,0.541152973543803,0.08175072322805724,,,,,
152,Burkina Faso,Sub-Saharan Africa,3.786000021616617,0.30943257119496664,0.23335475288867966,5.399884230000001,0.0,0.0,0.0,0.0
153,Afghanistan,Southern Asia,3.576333303451537,0.3678557392247517,0.219178926281929,9.485033974545455,0.597,0.0,0.0,0.5
154,Rwanda,Sub-Saharan Africa,3.48366665204366,0.3064286310799917,0.3579049357700346,8.469045774545455,0.064,0.8320000000000001,0.0,0.0
155,Benin,Sub-Saharan Africa,3.4936666882832834,0.370908469244639,0.24643673710187267,4.017451338181818,0.153,0.598,0.0,0.0
156,Syria,Middle East and Northern Africa,3.17899996439616,0.7291810447820026,0.61746778078715,,,,,
157,Burundi,Sub-Saharan Africa,2.9049999904632564,0.05841085622231166,0.17768026389439898,9.4095799,0.0,0.0,0.0,0.0
158,Togo,Sub-Saharan Africa,3.21233329518636,0.26511823913574234,0.259881856215795,5.588371383636364,0.0,0.0,0.0,0.0
