,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016,2015 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2016 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2015 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2016 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2015 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2016 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
13,Mexico,Latin America and Caribbean,7.187,1.02054,6.778,1.1150799999999998,3,3.0,516,507,458,465,392,392
14,Brazil,Latin America and Caribbean,6.983,0.98124,6.952000000000001,1.08754,4,4.0,593,591,"1,194","1,185",799,774
15,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,6.871,1.6975200000000001,5,5.0,"5,268","5,176","1,076","1,124",706,716
16,Ireland,Western Europe,6.94,1.33596,6.907,1.4834100000000001,5,5.0,"3,654","3,819","1,479","1,480",697,688
17,Belgium,Western Europe,6.937,1.30782,6.928999999999999,1.42539,8,8.0,"3,845","3,926",759,742,758,740
18,United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,6.5729999999999995,1.57352,3,3.0,"1,795","1,845",724,701,448,473
19,United Kingdom,Western Europe,6.867000000000001,1.26637,6.725,1.40283,8,8.0,"3,281","3,352",806,826,610,632
20,Singapore,Southeastern Asia,6.797999999999999,1.52186,6.739,1.64555,2,2.0,"1,951","2,227","1,746","1,857","1,183","1,273"
21,Panama,Latin America and Caribbean,6.7860000000000005,1.0635299999999999,6.7010000000000005,1.18306,4,5.0,971,"1,148",571,589,471,480
22,Germany,Western Europe,6.75,1.32792,6.994,1.44787,9,9.0,"4,494","4,626",835,837,676,678
23,Chile,Latin America and Caribbean,6.67,1.10715,6.705,1.2167,5,5.0,"1,111","1,171",780,831,653,696
24,Qatar,Middle East and Northern Africa,6.611000000000001,1.69042,6.375,1.82427,3,3.0,"3,332","3,205",621,721,286,336
25,France,Western Europe,6.575,1.27778,6.478,1.39488,9,10.0,"3,573","3,964","1,093",818,455,467
26,Argentina,Latin America and Caribbean,6.574,1.05351,6.65,1.15137,7,6.0,"1,412","1,140",387,383,245,242
27,Czech Republic,Central and Eastern Europe,6.505,1.17898,6.596,1.30915,6,6.0,"1,995","2,034",431,450,360,373
28,Uruguay,Latin America and Caribbean,6.485,1.06166,6.545,1.18157,6,6.0,"1,301","1,404",601,554,322,340
29,Colombia,Latin America and Caribbean,6.477,0.91861,6.481,1.0303200000000001,4,4.0,528,526,286,302,163,167
30,Thailand,Southeastern Asia,6.455,0.9669,6.474,1.0893,3,3.0,463,496,133,137,75,77
31,Saudi Arabia,Middle East and Northern Africa,6.4110000000000005,1.39541,6.379,1.48953,4,4.0,"2,227","2,114","1,025","1,004",468,447
